% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_core.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_packing/resnet50_bottleneck3_xb128_6x6x3_c8r2s4.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=648, SIM=51840, 1.3 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
   43    11 0.0008816609 0.0008816609     5138    28259    38536
   60    44 0.0001322468 0.0001322468        0    38535    38536
   61    45 0.0001322468 0.0001322468        0    38535    38536
   62    46 0.0001322468 0.0001322468        0    38535    38536
   63    47 0.0001322468 0.0001322468        0    38535    38536
   64    48 0.0001322468 0.0001322468        0    38535    38536
   65    49 0.0001322468 0.0001322468        0    38535    38536
   66    50 0.0001322468 0.0001322468        0    38535    38536
   67    51 0.0001322468 0.0001322468        0    38535    38536
   68    52 0.0001322468 0.0001322468        0    38535    38536
   69    53 0.0001322468 0.0001322468        0    38535    38536
   70    54 0.0001322468 0.0001322468        0    38535    38536
   71    55 0.0001322468 0.0001322468        0    38535    38536
   72    56 0.0001322468 0.0001322468        0    38535    38536
   73    57 0.0001322468 0.0001322468        0    38535    38536
   74    58 0.0001322468 0.0001322468        0    38535    38536
   75    59 0.0001322468 0.0001322468        0    38535    38536
   76    60 0.0005289874 0.0005289874        0    38535    38536
   77    61 0.0005289874 0.0005289874        0    38535    38536
   78    62 0.0005289874 0.0005289874        0    38535    38536
   79    63 0.0005289874 0.0005289874        0    38535    38536
   80    64 0.0005289874 0.0005289874        0    38535    38536
   81    65 0.0005289874 0.0005289874        0    38535    38536
   82    66 0.0005289874 0.0005289874        0    38535    38536
   83    67 0.0005289874 0.0005289874        0    38535    38536
   84    68 0.0005289874 0.0005289874        0    38535    38536
   85    69 0.0005289874 0.0005289874        0    38535    38536
   86    70 0.0005289874 0.0005289874        0    38535    38536
   87    71 0.0005289874 0.0005289874        0    38535    38536
   88    72 0.0005289874 0.0005289874        0    38535    38536
   89    73 0.0005289874 0.0005289874        0    38535    38536
   90    74 0.0005289874 0.0005289874        0    38535    38536
   91    75 0.0005289874 0.0005289874        0    38535    38536
